Origin,Destination,Distance,Distance2
"Charlotte
Hornets",Dallas,1029.09,NA
"Chicago
Bulls",Dallas,971.8,NA
"Cleveland
Cavaliers",Dallas,1184.86,NA
"Dallas
Mavericks",Dallas,0,NA
"Denver
Nuggets",Dallas,794,794
"Detroit
Pistons",Dallas,1216.97,1216.97
"Golden
State
Warriors",Dallas,1714.18,1714.18
"Houston
Rockets",Dallas,241.73,241.73
"Indiana
Pacers",Dallas,909.47,909.47
"Los
Angeles
Lakers/Clippers",Dallas,1439.08,1439.08
"Memphis
Grizzlies",Dallas,456.66,456.66
"Miami
Heat",Dallas,1310.33,1310.33
"Milwaukee
Bucks",Dallas,1000.42,1000.42
"Minnesota
Timberwolves",Dallas,940.77,940.77
"New
Orleans
Pelicans",Dallas,507.14,507.14
"New
York
Knicks",Dallas,1552.83,1552.83
"Oklahoma
City
Thunder",Dallas,203.63,203.63
"Orlando
Magic",Dallas,1086.67,1086.67
"Philadelphia
76ers",Dallas,1469.58,1469.58
"Phoenix
Suns",Dallas,1064.58,1064.58
"Portland
Trailblazers",Dallas,2007.01,2007.01
"Sacramento
Kings",Dallas,1727.71,1727.71
"San
Antonio
Spurs",Dallas,271.93,271.93
"Toronto
Raptors",Dallas,1454.37,1454.37
"Utah
Jazz",Dallas,1240.61,1240.61
"Washington
Wizards",Dallas,1332.92,1332.92
"Atlanta
Hawks",Denver,1401.54,NA
"Boston
Celtics",Denver,1969.76,NA
"Brooklyn
Nets",Denver,1778.79,NA
"Charlotte
Hornets",Denver,1561.09,NA
"Chicago
Bulls",Denver,999.74,NA
"Cleveland
Cavaliers",Denver,1330.27,NA
"Dallas
Mavericks",Denver,792.49,NA
"Denver
Nuggets",Denver,0,NA
"Detroit
Pistons",Denver,1266.97,1266.97
"Golden
State
Warriors",Denver,1252.19,1252.19
"Houston
Rockets",Denver,1033.81,1033.81
"Indiana
Pacers",Denver,1090.87,1090.87
"Los
Angeles
Lakers/Clippers",Denver,1017.43,1017.43
"Memphis
Grizzlies",Denver,1048.73,1048.73
"Miami
Heat",Denver,2063.4,2063.4
"Milwaukee
Bucks",Denver,1042.28,1042.28
"Minnesota
Timberwolves",Denver,914.38,914.38
"New
Orleans
Pelicans",Denver,1295.41,1295.41
"New
York
Knicks",Denver,1777.98,1777.98
"Oklahoma
City
Thunder",Denver,678.39,678.39
"Orlando
Magic",Denver,1839.74,1839.74
"Philadelphia
76ers",Denver,1726.81,1726.81
"Phoenix
Suns",Denver,863.41,863.41
"Portland
Trailblazers",Denver,1243.8,1243.8
"Sacramento
Kings",Denver,1168.33,1168.33
"San
Antonio
Spurs",Denver,936.26,936.26
"Toronto
Raptors",Denver,1504.38,1504.38
"Utah
Jazz",Denver,519.23,519.23
"Washington
Wizards",Denver,1661.54,1661.54
"Atlanta
Hawks",Detroit,720.91,NA
"Boston
Celtics",Detroit,718.75,NA
"Brooklyn
Nets",Detroit,616.45,NA
"Charlotte
Hornets",Detroit,629.8,NA
"Chicago
Bulls",Detroit,282.86,NA
"Cleveland
Cavaliers",Detroit,167.93,NA
"Dallas
Mavericks",Detroit,1185.9,NA
"Denver
Nuggets",Detroit,1267.42,NA
"Detroit
Pistons",Detroit,0,NA
"Golden
State
Warriors",Detroit,2396.85,2396.85
"Houston
Rockets",Detroit,1310.66,1310.66
"Indiana
Pacers",Detroit,286.07,286.07
"Los
Angeles
Lakers/Clippers",Detroit,2282.56,2282.56
"Memphis
Grizzlies",Detroit,742.57,742.57
"Miami
Heat",Detroit,1382.77,1382.77
"Milwaukee
Bucks",Detroit,381.04,381.04
"Minnesota
Timberwolves",Detroit,693.28,693.28
"New
Orleans
Pelicans",Detroit,1065.64,1065.64
"New
York
Knicks",Detroit,615.78,615.78
"Oklahoma
City
Thunder",Detroit,1026.85,1026.85
"Orlando
Magic",Detroit,1159.11,1159.11
"Philadelphia
76ers",Detroit,583.4,583.4
"Phoenix
Suns",Detroit,1984.11,1984.11
"Portland
Trailblazers",Detroit,2388.46,2388.46
"Sacramento
Kings",Detroit,2312.99,2312.99
"San
Antonio
Spurs",Detroit,1455.03,1455.03
"Toronto
Raptors",Detroit,241.91,241.91
"Utah
Jazz",Detroit,1663.88,1663.88
"Washington
Wizards",Detroit,525.48,525.48
"Atlanta
Hawks",Oakland,2456.9,NA
"Boston
Celtics",Oakland,3095.38,NA
"Brooklyn
Nets",Oakland,2904.41,NA
"Charlotte
Hornets",Oakland,2701.77,NA
"Chicago
Bulls",Oakland,2125.37,NA
"Cleveland
Cavaliers",Oakland,2455.89,NA
"Dallas
Mavericks",Oakland,1713.47,NA
"Denver
Nuggets",Oakland,1209.03,NA
"Detroit
Pistons",Oakland,2392.59,NA
"Golden
State
Warriors",Oakland,0,NA
"Houston
Rockets",Oakland,1910.89,1910.89
"Indiana
Pacers",Oakland,2271.63,2271.63
"Los
Angeles
Lakers/Clippers",Oakland,372.46,372.46
"Memphis
Grizzlies",Oakland,2075.87,2075.87
"Miami
Heat",Oakland,3093.94,3093.94
"Milwaukee
Bucks",Oakland,2167.89,2167.89
"Minnesota
Timberwolves",Oakland,1977.51,1977.51
"New
Orleans
Pelicans",Oakland,2216.38,2216.38
"New
York
Knicks",Oakland,2903.68,2903.68
"Oklahoma
City
Thunder",Oakland,1609.74,1609.74
"Orlando
Magic",Oakland,2870.28,2870.28
"Philadelphia
76ers",Oakland,2871.35,2871.35
"Phoenix
Suns",Oakland,736.29,736.29
"Portland
Trailblazers",Oakland,635.81,635.81
"Sacramento
Kings",Oakland,87.04,87.04
"San
Antonio
Spurs",Oakland,1721.11,1721.11
"Toronto
Raptors",Oakland,2630,2630
"Utah
Jazz",Oakland,735.88,735.88
"Washington
Wizards",Oakland,2813.44,2813.44
"Atlanta
Hawks",Houston,793.42,NA
"Boston
Celtics",Houston,1847.59,NA
"Brooklyn
Nets",Houston,1634.01,NA
"Charlotte
Hornets",Houston,1036.17,NA
"Chicago
Bulls",Houston,1083.74,NA
"Cleveland
Cavaliers",Houston,1296.8,NA
"Dallas
Mavericks",Houston,241.89,NA
"Denver
Nuggets",Houston,1038.61,NA
"Detroit
Pistons",Houston,1328.91,NA
"Golden
State
Warriors",Houston,1913.57,NA
"Houston
Rockets",Houston,0,NA
"Indiana
Pacers",Houston,1021.35,1021.35
"Los
Angeles
Lakers/Clippers",Houston,1551.55,1551.55
"Memphis
Grizzlies",Houston,568.6,568.6
"Miami
Heat",Houston,1185.74,1185.74
"Milwaukee
Bucks",Houston,1171.6,1171.6
"Minnesota
Timberwolves",Houston,1180.22,1180.22
"New
Orleans
Pelicans",Houston,346.9,346.9
"New
York
Knicks",Houston,1629.71,1629.71
"Oklahoma
City
Thunder",Houston,445.71,445.71
"Orlando
Magic",Houston,962.08,962.08
"Philadelphia
76ers",Houston,1546.46,1546.46
"Phoenix
Suns",Houston,1177.05,1177.05
"Portland
Trailblazers",Houston,2251.62,2251.62
"Sacramento
Kings",Houston,1932.11,1932.11
"San
Antonio
Spurs",Houston,192.98,192.98
"Toronto
Raptors",Houston,1550.24,1550.24
"Utah
Jazz",Houston,1451,1451
"Washington
Wizards",Houston,1408.32,1408.32
"Atlanta
Hawks",Indianapolis,533.54,NA
"Boston
Celtics",Indianapolis,949.7,NA
"Brooklyn
Nets",Indianapolis,727.77,NA
"Charlotte
Hornets",Indianapolis,583.96,NA
"Chicago
Bulls",Indianapolis,186.43,NA
"Cleveland
Cavaliers",Indianapolis,315.27,NA
"Dallas
Mavericks",Indianapolis,899.97,NA
"Denver
Nuggets",Indianapolis,1083.21,NA
"Detroit
Pistons",Indianapolis,297.86,NA
"Golden
State
Warriors",Indianapolis,2277.5,NA
"Houston
Rockets",Indianapolis,1024.56,NA
"Indiana
Pacers",Indianapolis,0,NA
"Los
Angeles
Lakers/Clippers",Indianapolis,2100.26,2100.26
"Memphis
Grizzlies",Indianapolis,465.55,465.55
"Miami
Heat",Indianapolis,1195.4,1195.4
"Milwaukee
Bucks",Indianapolis,279.49,279.49
"Minnesota
Timberwolves",Indianapolis,592.38,592.38
"New
Orleans
Pelicans",Indianapolis,820.84,820.84
"New
York
Knicks",Indianapolis,711.47,711.47
"Oklahoma
City
Thunder",Indianapolis,740.91,740.91
"Orlando
Magic",Indianapolis,971.74,971.74
"Philadelphia
76ers",Indianapolis,643.53,643.53
"Phoenix
Suns",Indianapolis,1698.1,1698.1
"Portland
Trailblazers",Indianapolis,2269.11,2269.11
"Sacramento
Kings",Indianapolis,2193.64,2193.64
"San
Antonio
Spurs",Indianapolis,1169.1,1169.1
"Toronto
Raptors",Indianapolis,536.48,536.48
"Utah
Jazz",Indianapolis,1544.53,1544.53
"Washington
Wizards",Indianapolis,578.26,578.26
"Atlanta
Hawks",Los Angeles,2178.97,NA
"Boston
Celtics",Los Angeles,2986.21,NA
"Brooklyn
Nets",Los Angeles,2795.25,NA
"Charlotte
Hornets",Los Angeles,2423.84,NA
"Chicago
Bulls",Los Angeles,2016.18,NA
"Cleveland
Cavaliers",Los Angeles,2346.66,NA
"Dallas
Mavericks",Los Angeles,1437.7,NA
"Denver
Nuggets",Los Angeles,1019.3,NA
"Detroit
Pistons",Los Angeles,2283.41,NA
"Golden
State
Warriors",Los Angeles,367.92,NA
"Houston
Rockets",Los Angeles,1548.83,NA
"Indiana
Pacers",Los Angeles,2078.3,NA
"Los
Angeles
Lakers/Clippers",Los Angeles,0,NA
"Memphis
Grizzlies",Los Angeles,1797.94,1797.94
"Miami
Heat",Los Angeles,2731.88,2731.88
"Milwaukee
Bucks",Los Angeles,2058.72,2058.72
"Minnesota
Timberwolves",Los Angeles,1930.83,1930.83
"New
Orleans
Pelicans",Los Angeles,1893.04,1893.04
