Origin,Destination,Distance,Distance2
Milwaukee Bucks,Orlando,1249.73,NA
New York Knicks,Orlando,1082.36,NA
Orlando Magic,Orlando,0,NA
Philadelphia 76ers,Orlando,991.27,991.27
Toronto Raptors,Orlando,1280.09,1280.09
Washington Wizards,Orlando,846.67,846.67
Atlanta Hawks,Philadelphia,775.82,NA
Boston Celtics,Philadelphia,309.3,NA
Brooklyn Nets,Philadelphia,95.52,NA
Charlotte Hornets,Philadelphia,539.37,NA
Chicago Bulls,Philadelphia,760.49,NA
Cleveland Cavaliers,Philadelphia,431.24,NA
Detroit Pistons,Philadelphia,592.81,NA
Indiana Pacers,Philadelphia,643.6,NA
Miami Heat,Philadelphia,1189.98,NA
Milwaukee Bucks,Philadelphia,849.89,NA
New York Knicks,Philadelphia,96.68,NA
Orlando Magic,Philadelphia,986.37,NA
Philadelphia 76ers,Philadelphia,0,NA
Toronto Raptors,Philadelphia,497.44,497.44
Washington Wizards,Philadelphia,137.55,137.55
Atlanta Hawks,Toronto,949.94,NA
Boston Celtics,Toronto,549.49,NA
Brooklyn Nets,Toronto,492.63,NA
Charlotte Hornets,Toronto,758.4,NA
Chicago Bulls,Toronto,521.14,NA
Cleveland Cavaliers,Toronto,291.01,NA
Detroit Pistons,Toronto,234.71,NA
Indiana Pacers,Toronto,510.96,NA
Miami Heat,Toronto,1483.49,NA
Milwaukee Bucks,Toronto,487.24,NA
New York Knicks,Toronto,491.86,NA
Orlando Magic,Toronto,1279.24,NA
Philadelphia 76ers,Toronto,496.42,NA
Toronto Raptors,Toronto,0,NA
Washington Wizards,Toronto,476.51,476.51
Atlanta Hawks,Washington DC,636.35,NA
Boston Celtics,Washington DC,439.8,NA
Brooklyn Nets,Washington DC,226.88,NA
Charlotte Hornets,Washington DC,399.9,NA
Chicago Bulls,Washington DC,704.21,NA
Cleveland Cavaliers,Washington DC,374.96,NA
Detroit Pistons,Washington DC,529.01,NA
Indiana Pacers,Washington DC,578.52,NA
Miami Heat,Washington DC,1050.51,NA
Milwaukee Bucks,Washington DC,793.6,NA
New York Knicks,Washington DC,227.99,NA
Orlando Magic,Washington DC,846.26,NA
Philadelphia 76ers,Washington DC,136.94,NA
Toronto Raptors,Washington DC,483.89,NA
Washington Wizards,Washington DC,0,NA
